iter	Logloss
0	0.6780312556
1	0.6645868136
2	0.6524499279
3	0.6417108892
4	0.6320672546
5	0.6233382022
6	0.6153045989
7	0.6081487577
8	0.6016662428
9	0.5959418356
10	0.5907421725
11	0.5858948515
12	0.5817181718
13	0.5778667636
14	0.5743052774
15	0.5710533204
16	0.568158986
17	0.5655912356
18	0.5631463529
19	0.5609708636
20	0.5589700667
21	0.5570967697
22	0.5553288546
23	0.5537897275
24	0.5523827262
25	0.5509707353
26	0.5497659817
27	0.5486388557
28	0.5475845398
29	0.546636287
30	0.5457049884
31	0.5448758941
32	0.5440557642
33	0.5433426172
34	0.5426770365
35	0.5419963225
36	0.5412909469
37	0.5407084792
38	0.5401202583
39	0.5395960722
40	0.5391303801
41	0.5387062285
42	0.5382678773
43	0.5378585591
44	0.5374288457
45	0.5370062216
46	0.5365787993
47	0.5362375246
48	0.5358928452
49	0.535566268
50	0.5352680611
51	0.5349967623
52	0.5347204346
53	0.5344224515
54	0.5341769899
55	0.5338669922
56	0.5336357254
57	0.5334116531
58	0.5331723877
59	0.5329295302
60	0.5327089334
61	0.5325329638
62	0.5322995777
63	0.5321087288
64	0.5319175553
65	0.5317205141
66	0.5315369046
67	0.531354077
68	0.5311626265
69	0.5310095467
70	0.5308476441
71	0.5306755774
72	0.5305480913
73	0.5304096876
74	0.5302438723
75	0.5301074407
76	0.5299412657
77	0.529798533
78	0.529679092
79	0.5294749406
80	0.5293270671
81	0.5291665143
82	0.5290269059
83	0.5288910132
84	0.5287589968
85	0.5285979284
86	0.528492334
87	0.5283568876
88	0.5282560745
89	0.528139175
90	0.5280096125
91	0.5278635359
92	0.5277769476
93	0.5276640248
94	0.5275718765
95	0.5274351853
96	0.5273069426
97	0.5271830601
98	0.5270959757
99	0.5269731703
100	0.5268632162
101	0.5267677517
102	0.526683527
103	0.52660038
104	0.526491925
105	0.5263827438
106	0.5262945131
107	0.5262037885
108	0.5260973863
109	0.526034222
110	0.5259595967
111	0.5258511789
112	0.5257489648
113	0.5256784649
114	0.5256079204
115	0.5255373217
116	0.5254513667
117	0.5253473372
118	0.5252504743
119	0.5251675977
120	0.5250948777
121	0.5249827978
122	0.5249099377
123	0.5248322126
124	0.524768224
125	0.5247154934
126	0.5246430381
127	0.5245488756
128	0.5244604291
129	0.5243871418
130	0.5243061412
131	0.5242372298
132	0.5241694037
133	0.5241029781
134	0.5240084963
135	0.5239094929
136	0.5238647426
137	0.523801593
138	0.5237524212
139	0.5236690033
140	0.523554674
141	0.5234994698
142	0.5234056472
143	0.523343049
144	0.5233001908
145	0.5232496897
146	0.5231821731
147	0.5231003984
148	0.5230299412
149	0.5229691878
150	0.5228532285
151	0.5228129323
152	0.5227634375
153	0.5226957113
154	0.5226462108
155	0.5225985403
156	0.5225106845
157	0.5224596223
158	0.5224170002
159	0.522369702
160	0.5223167358
161	0.5222504397
162	0.5221533992
163	0.5220748505
164	0.522015657
165	0.5219747407
166	0.5219230835
167	0.5218567818
168	0.5217826823
169	0.5217362924
170	0.5216278884
171	0.5215876895
172	0.5215534477
173	0.5214887401
174	0.5214428234
175	0.5213913426
176	0.5213487331
177	0.5212908095
178	0.521243539
179	0.521205202
180	0.5211579872
181	0.521086679
182	0.5210404951
183	0.5209843208
184	0.5209006658
185	0.5208539378
186	0.5208188457
187	0.5207522743
188	0.5207222265
189	0.520660766
190	0.5206118299
191	0.5205633333
192	0.5205096909
193	0.5204443087
194	0.5203565883
195	0.5202409873
196	0.5201697668
197	0.5201397514
198	0.5200897009
199	0.5200410827
200	0.5199918142
201	0.519916762
202	0.5198796432
203	0.5198226599
204	0.5197885234
205	0.5197429858
206	0.519663699
207	0.5196218745
208	0.5195567795
209	0.5195309454
210	0.5194984781
211	0.5193978744
212	0.5193636851
213	0.5193170982
214	0.5192741545
215	0.5192235782
216	0.5191897761
217	0.5191025525
218	0.5190185542
219	0.518969568
220	0.5189436757
221	0.5188791154
222	0.5188411604
223	0.5187976278
224	0.5187628366
225	0.5187225242
226	0.5186708967
227	0.5186426466
228	0.5185840423
229	0.5185654314
230	0.5185082467
231	0.5184307623
232	0.5183884797
233	0.5183379307
234	0.5183080183
235	0.5182498533
236	0.5182220117
237	0.5181397943
238	0.5180995452
239	0.5180199309
240	0.517983205
241	0.5179424867
242	0.5179213467
243	0.5178564377
244	0.5178029566
245	0.5177456034
246	0.5176400331
247	0.51753763
248	0.5174884216
249	0.5174453494
250	0.5173800915
251	0.5173377098
252	0.5172849696
253	0.5172564938
254	0.5172082544
255	0.5171752297
256	0.5171278335
257	0.5170841413
258	0.5170514192
259	0.5170034094
260	0.5169564747
261	0.5168751371
262	0.5168577758
263	0.5168370027
264	0.5167896001
265	0.5167306279
266	0.5166799289
267	0.5166304691
268	0.5165965544
269	0.5165620698
270	0.5164869073
271	0.516436134
272	0.5164035444
273	0.516351182
274	0.5163098172
275	0.5162632391
276	0.5162405586
277	0.5161868038
278	0.5161248202
279	0.5160891138
280	0.5160256955
281	0.516001061
282	0.5159068234
283	0.5158648038
284	0.5158000176
285	0.5157641852
286	0.5157046232
287	0.5156775114
288	0.5156570378
289	0.5156195957
