iter	Passed	Remaining
0	711	710588
1	1044	521315
2	1380	458919
3	1630	405972
4	1870	372226
5	2056	340687
6	2265	321357
7	2538	314762
8	2765	304548
9	3000	297093
10	3214	289056
11	3409	280754
12	3650	277145
13	3913	275641
14	4164	273497
15	4375	269120
16	4641	268380
17	4873	265898
18	5077	262154
19	5323	260848
20	5575	259908
21	5863	260654
22	6078	258205
23	6318	256950
24	6609	257782
25	6818	255418
26	7059	254395
27	7304	253583
28	7535	252322
29	7758	250866
30	7985	249610
31	8179	247421
32	8382	245647
33	8644	245601
34	8871	244603
35	9095	243562
36	9298	242009
37	9471	239789
38	9720	239528
39	9987	239697
40	10221	239093
41	10443	238214
42	10710	238372
43	10947	237862
44	11184	237361
45	11416	236769
46	11657	236367
47	11848	234995
48	12074	234344
49	12294	233595
50	12571	233935
51	12868	234598
52	13155	235065
53	13566	237665
54	13909	238988
55	14233	239934
56	14479	239542
57	14690	238586
58	14922	237997
59	15145	237285
60	15342	236166
61	15591	235888
62	15827	235396
63	16003	234055
64	16205	233103
65	16435	232592
66	16666	232084
67	16891	231518
68	17114	230927
69	17353	230558
70	17541	229515
71	17726	228479
72	17935	227758
73	18159	227238
74	18347	226288
75	18677	227077
76	18877	226286
77	19058	225281
78	19296	224961
79	19546	224786
80	19783	224461
81	20004	223947
82	20254	223774
83	20563	224241
84	20802	223933
85	21012	223323
86	21225	222744
87	21477	222587
88	21722	222346
89	21988	222323
90	22182	221578
91	22408	221166
92	22627	220678
93	22860	220336
94	23110	220162
95	23343	219818
96	23541	219156
97	23739	218504
98	23943	217911
99	24190	217710
100	24372	216941
101	24554	216180
102	24772	215739
103	24984	215252
104	25204	214837
105	25407	214282
106	25704	214527
107	25926	214130
108	26193	214114
109	26490	214329
110	26713	213949
111	26913	213381
112	27144	213069
113	27394	212908
114	27604	212435
115	27892	212558
116	28121	212229
117	28343	211857
118	28629	211955
119	28862	211658
120	29091	211332
121	29277	210701
122	29464	210081
123	29700	209816
124	29930	209512
125	30114	208887
126	30337	208537
127	30559	208189
128	30784	207854
129	31007	207510
130	31252	207315
131	31495	207109
132	31735	206877
133	31953	206502
134	32167	206110
135	32405	205871
136	32626	205525
137	32849	205189
138	33062	204794
139	33253	204270
140	33447	203771
141	33706	203664
142	33942	203419
143	34233	203498
144	34478	203302
145	34772	203397
146	35032	203285
147	35290	203158
148	35515	202843
149	35766	202679
150	36035	202610
151	36282	202418
152	36523	202192
153	36758	201932
154	37008	201754
155	37293	201768
156	37536	201549
157	37795	201417
158	38036	201188
159	38270	200922
160	38489	200577
161	38675	200061
162	38912	199815
163	39202	199839
164	39421	199496
165	39664	199276
166	39858	198813
167	40081	198499
168	40289	198111
169	40478	197628
170	40697	197298
171	40881	196803
172	41053	196247
173	41211	195634
174	41435	195339
175	41642	194961
176	41800	194358
177	42023	194065
178	42254	193804
179	42469	193471
180	42680	193121
181	42880	192725
182	43082	192339
183	43283	191952
184	43579	191984
185	43756	191491
186	43967	191152
187	44186	190846
188	44368	190386
189	44560	189970
190	44797	189743
191	45029	189497
192	45251	189210
193	45434	188762
194	45644	188430
195	45939	188445
196	46202	188328
197	46607	188783
198	46866	188644
199	47104	188417
200	47331	188148
201	47600	188044
202	47818	187741
203	48006	187320
204	48192	186892
205	48446	186731
206	48710	186606
207	49007	186605
208	49268	186465
209	49442	185996
210	49659	185692
211	49827	185208
212	50034	184869
213	50246	184549
214	50459	184235
215	50718	184087
216	50956	183867
217	51191	183633
218	51385	183251
219	51602	182954
220	51829	182694
221	52073	182491
222	52248	182048
223	52461	181740
224	52654	181364
225	52827	180922
226	53070	180719
227	53244	180282
228	53461	179994
229	53686	179731
230	53888	179393
231	54093	179067
232	54287	178705
233	54499	178402
234	54708	178094
235	54883	177674
236	55106	177411
237	55443	177513
238	55668	177255
239	55857	176881
240	56062	176560
241	56286	176302
242	56504	176023
243	56728	175764
244	56945	175486
245	57167	175220
246	57449	175138
247	57701	174966
248	57879	174567
249	58106	174318
250	58374	174193
251	58902	174838
252	59145	174631
253	59341	174286
254	59612	174162
255	59805	173808
256	60041	173584
257	60259	173305
258	60485	173048
259	60720	172819
260	61030	172803
261	61270	172585
262	61507	172361
263	61686	171974
264	61882	171636
265	62051	171225
266	62277	170971
267	62451	170577
268	62623	170177
269	62838	169896
270	63033	169561
271	63266	169330
272	63462	169000
273	63712	168815
274	63950	168596
275	64188	168379
276	64374	168024
277	64586	167738
278	64760	167355
279	64936	166979
280	65146	166692
281	65335	166349
282	65545	166063
283	65727	165706
284	65933	165411
285	66126	165084
286	66306	164725
287	66473	164337
288	66687	164066
289	66899	163788
290	67095	163474
291	67310	163205
292	67527	162942
293	67681	162528
294	67884	162232
295	68100	161969
296	68272	161601
297	68464	161281
298	68674	161005
299	68832	160609
300	69025	160294
301	69196	159931
302	69412	159671
303	69617	159387
304	69824	159108
305	70024	158812
306	70195	158454
307	70369	158103
308	70588	157853
309	70751	157479
310	70965	157219
311	71146	156887
312	71342	156589
313	71545	156306
314	71747	156021
315	71916	155667
316	72112	155370
317	72319	155100
318	72496	154765
319	72686	154458
320	72892	154186
321	73165	154056
322	73394	153832
323	73617	153597
324	73810	153299
325	74025	153046
326	74232	152779
