iter	Logloss
0	0.6786449756
1	0.665028973
2	0.652938755
3	0.6419605022
4	0.6322580662
5	0.6234569602
6	0.6155512573
7	0.6085293099
8	0.6017902816
9	0.5955973061
10	0.5905069706
11	0.5856460617
12	0.581132516
13	0.5772609368
14	0.5735987418
15	0.5702219037
16	0.5672446317
17	0.5645193927
18	0.5618868209
19	0.55951459
20	0.5574123267
21	0.555481131
22	0.5536668733
23	0.5518994722
24	0.5504406377
25	0.5490996598
26	0.5478982771
27	0.5466959871
28	0.5455247008
29	0.5444042391
30	0.5431938524
31	0.5422009774
32	0.5413797118
33	0.5404839034
34	0.5396679622
35	0.5389326396
36	0.5382301309
37	0.53763496
38	0.5369240812
39	0.5361393737
40	0.5355195603
41	0.5349985138
42	0.5344390634
43	0.5340249406
44	0.5334776656
45	0.5329379813
46	0.5325518977
47	0.5321067549
48	0.5316773342
49	0.5312534847
50	0.5308409136
51	0.5304542685
52	0.5300923426
53	0.5297162927
54	0.5293538216
55	0.5290054432
56	0.5286309236
57	0.5283237736
58	0.5280145542
59	0.5277004585
60	0.5274434396
61	0.5271798669
62	0.5268527901
63	0.5266378711
64	0.5263207699
65	0.5260693994
66	0.5257891511
67	0.525578738
68	0.5253194585
69	0.5251287192
70	0.5249099257
71	0.5247075141
72	0.5244596679
73	0.5242458694
74	0.5240131121
75	0.5238132771
76	0.5236318491
77	0.5234607354
78	0.52324176
79	0.5230762862
80	0.5228759852
81	0.522696766
82	0.5225194008
83	0.5222996028
84	0.5221334301
85	0.5219443525
86	0.5217762969
87	0.5216242671
88	0.5214725954
89	0.521345471
90	0.5210940639
91	0.5209305618
92	0.5207454377
93	0.5205806149
94	0.5204474394
95	0.5203028436
96	0.5200375438
97	0.5199215374
98	0.5197502695
99	0.5195941045
100	0.5194553259
101	0.5192693831
102	0.5190641493
103	0.518950114
104	0.518807017
105	0.5186638917
106	0.5184993305
107	0.518387343
108	0.5182732421
109	0.5181084832
110	0.5179461077
111	0.5178337442
112	0.5177055273
113	0.5175578042
114	0.5174408653
115	0.5172959245
116	0.5171800054
117	0.5170123067
118	0.5168746061
119	0.5167772533
120	0.5166442271
121	0.5164931979
122	0.5163999315
123	0.5163014683
124	0.5161343927
125	0.5160033475
126	0.5159159765
127	0.5157488855
128	0.5156169701
129	0.5155077847
130	0.5153915467
131	0.5151619525
132	0.5150582285
133	0.5149464726
134	0.514861883
135	0.514729018
136	0.5145637816
137	0.5144585336
138	0.5143696408
139	0.5142660705
140	0.5141372765
141	0.513935099
142	0.5138110181
143	0.5136865073
144	0.5136015858
145	0.5134698641
146	0.5133884582
147	0.5132732415
148	0.5132160936
149	0.513123569
150	0.5130160234
151	0.5129020399
152	0.5127803934
153	0.5125378616
154	0.5123697557
155	0.5122674123
156	0.5121345898
157	0.5120027844
158	0.5118652161
159	0.5117186599
160	0.5115947563
161	0.511506875
162	0.5114452468
163	0.5113317326
164	0.5112190279
165	0.5111149045
166	0.5109800496
167	0.5108997884
168	0.5107915559
169	0.5106946003
170	0.5105979457
171	0.510403529
172	0.5102991984
173	0.5102254102
174	0.5101196787
175	0.5100262494
176	0.5099429997
177	0.5098597585
178	0.5097337214
179	0.5096697614
180	0.5095534178
181	0.5094421754
182	0.5093489594
183	0.509284504
184	0.5091577427
185	0.5090311148
186	0.5088779739
