iter	Passed	Remaining
0	56	85001
1	89	67023
2	122	61232
3	159	59775
4	188	56311
5	219	54742
6	254	54191
7	282	52732
8	312	51711
9	346	51564
10	372	50406
11	400	49642
12	426	48773
13	455	48310
14	481	47714
15	512	47490
16	539	47064
17	566	46653
18	595	46447
19	621	46017
20	646	45552
21	674	45298
22	701	45018
23	726	44662
24	750	44288
25	777	44101
26	801	43721
27	826	43464
28	856	43437
29	884	43316
30	911	43173
31	939	43098
32	968	43040
33	997	43007
34	1025	42927
35	1051	42759
36	1075	42518
37	1106	42568
38	1139	42705
39	1168	42641
40	1196	42562
41	1237	42952
42	1266	42914
43	1293	42811
44	1319	42649
45	1344	42506
46	1374	42487
47	1400	42361
48	1431	42378
49	1454	42184
50	1478	42015
51	1508	42002
52	1537	41965
53	1564	41890
54	1590	41781
55	1619	41761
56	1647	41713
57	1671	41562
58	1702	41584
59	1730	41530
60	1754	41397
61	1783	41363
62	1810	41289
63	1839	41274
64	1870	41293
65	1894	41162
66	1920	41069
67	1947	41015
68	1974	40941
69	2004	40947
70	2032	40908
71	2059	40840
72	2087	40815
73	2113	40722
74	2144	40743
75	2176	40779
76	2202	40701
77	2234	40739
78	2264	40735
79	2295	40741
80	2322	40678
81	2352	40679
82	2376	40570
83	2404	40537
84	2429	40438
85	2452	40328
86	2480	40291
87	2509	40266
88	2532	40155
89	2560	40115
90	2584	40020
91	2610	39951
92	2637	39907
93	2665	39874
94	2692	39819
95	2720	39780
96	2749	39762
97	2775	39709
98	2798	39596
99	2823	39534
100	2851	39494
101	2877	39438
102	2904	39397
103	2927	39302
104	2954	39250
105	2981	39204
106	3004	39117
107	3027	39018
108	3049	38912
109	3072	38824
110	3098	38766
111	3123	38712
112	3149	38654
113	3175	38608
114	3204	38591
115	3232	38571
116	3256	38494
117	3282	38440
118	3308	38400
119	3334	38347
120	3362	38317
121	3384	38231
122	3408	38159
123	3433	38101
124	3457	38036
125	3482	37973
126	3511	37960
127	3539	37934
128	3566	37902
129	3594	37880
130	3620	37840
131	3644	37765
132	3673	37751
133	3699	37711
134	3727	37686
135	3753	37641
136	3780	37609
137	3807	37583
138	3832	37525
139	3856	37462
140	3884	37442
141	3913	37425
142	3939	37387
143	3966	37351
144	3990	37291
145	4013	37220
146	4037	37164
147	4065	37139
148	4089	37076
149	4116	37051
150	4143	37021
151	4169	36978
152	4196	36947
153	4224	36920
154	4250	36884
155	4277	36854
156	4302	36799
157	4328	36766
158	4353	36717
159	4382	36706
160	4407	36656
161	4431	36597
162	4455	36549
163	4482	36515
164	4507	36473
165	4536	36452
166	4562	36415
167	4586	36362
168	4612	36330
169	4639	36300
170	4666	36267
171	4694	36243
172	4716	36181
173	4743	36145
174	4770	36117
175	4794	36067
176	4820	36030
177	4842	35965
178	4868	35932
179	4897	35914
180	4925	35890
181	4948	35838
182	4978	35826
183	5004	35796
184	5029	35746
185	5054	35710
186	5081	35676
