hour_index,station,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
2020-01-01 01:00:00+00:00,ORD,28.0,21.0,74.67,260.0,13.0,0.0,29.8,1010.0,10.0,22.0,BKN,OVC,,,2000.0,25000.0,,,,,,,,,,16.44,KORD 010051Z 26013G22KT 10SM BKN020 OVC250 M02/M06 A2980 RMK AO2 SLP100 T10221061,
2020-01-01 02:00:00+00:00,ORD,28.0,21.0,74.67,260.0,13.0,0.0,29.81,1010.2,10.0,21.0,BKN,,,,1800.0,,,,,,,,,,,16.44,KORD 010151Z 26013G21KT 10SM BKN018 M02/M06 A2981 RMK AO2 SLP102 T10221061,
2020-01-01 03:00:00+00:00,ORD,27.0,21.0,77.8,250.0,10.0,0.0,29.8,1010.1,10.0,,SCT,,,,1700.0,,,,,,,,,,,16.7,KORD 010251Z 25010KT 10SM SCT017 M03/M06 A2980 RMK AO2 SLP101 T10281061 50003,
2020-01-01 04:00:00+00:00,ORD,26.1,21.0,80.75,240.0,7.0,0.0,29.8,1010.1,10.0,,FEW,,,,1800.0,,,,,,,,,,,17.59,KORD 010351Z 24007KT 10SM FEW018 M03/M06 A2980 RMK AO2 SLP101 T10331061,
2020-01-01 05:00:00+00:00,ORD,26.1,21.0,80.75,260.0,9.0,0.0,29.8,1010.1,10.0,,FEW,,,,1800.0,,,,,,,,,,,16.18,KORD 010451Z 26009KT 10SM FEW018 M03/M06 A2980 RMK AO2 SLP101 T10331061,
2020-01-01 06:00:00+00:00,ORD,25.0,21.0,84.53,270.0,7.0,0.0,29.8,1010.0,10.0,,FEW,,,,1800.0,,,,,,,,,,,16.25,KORD 010551Z 27007KT 10SM FEW018 M04/M06 A2980 RMK AO2 SLP100 T10391061 11022 21039 410221044 58000,
2020-01-01 07:00:00+00:00,ORD,24.1,19.9,83.75,270.0,7.0,0.0,29.8,1010.2,10.0,,FEW,,,,1800.0,,,,,,,,,,,15.15,KORD 010651Z 27007KT 10SM FEW018 M04/M07 A2980 RMK AO2 SLP102 T10441067,
2020-01-01 08:00:00+00:00,ORD,23.0,19.0,84.39,260.0,5.0,0.0,29.8,1010.0,10.0,,FEW,,,,1600.0,,,,,,,,,,,15.71,KORD 010751Z 26005KT 10SM FEW016 M05/M07 A2980 RMK AO2 SLP100 T10501072,
2020-01-01 09:00:00+00:00,ORD,21.9,19.0,88.4,220.0,4.0,0.0,29.81,1010.5,10.0,,CLR,,,,,,,,,,,,,,,15.63,KORD 010851Z 22004KT 10SM CLR M06/M07 A2981 RMK AO2 SLP105 T10561072 53004,
2020-01-01 10:00:00+00:00,ORD,21.0,19.0,91.83,230.0,5.0,0.0,29.8,1010.1,10.0,,CLR,,,,,,,,,0.0001,,,,,,13.33,KORD 010951Z 23005KT 10SM CLR M06/M07 A2980 RMK AO2 SLP101 I1000 T10611072,
